Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-12-04,1.7301,1.7301,1.7022,1.7177,437509
2013-12-05,1.6775,1.7239,1.6775,1.7239,14346
2013-12-06,1.6961,1.7271,1.6961,1.7271,9628
2013-12-09,1.7239,1.7239,1.6588,1.6899,34307
2013-12-10,1.6713,1.6899,1.6559,1.6559,13751
2013-12-11,1.6559,1.7331,1.6559,1.7301,48700
2013-12-12,1.7271,1.7301,1.6867,1.7209,6136
2013-12-13,1.6899,1.761,1.6899,1.7579,23312
2013-12-16,1.7548,1.823,1.7115,1.823,160828
2013-12-17,1.8198,1.8198,1.7054,1.7054,50292
2013-12-18,1.7085,1.7239,1.6713,1.6713,37945
2013-12-19,1.6744,1.6744,1.6559,1.6713,23983
2013-12-20,1.6713,1.6713,1.532,1.5908,222689
2013-12-23,1.5785,1.631,1.5785,1.6094,66022
2013-12-27,1.631,1.6342,1.631,1.6342,1955
2013-12-30,1.6062,1.631,1.5568,1.6279,36537
2014-01-02,1.6404,1.662,1.5939,1.6187,27561
2014-01-03,1.6217,1.7518,1.6002,1.7518,20021
2014-01-07,1.7022,1.7487,1.7022,1.7487,8092
2014-01-08,1.7394,1.7487,1.662,1.662,73270
2014-01-09,1.6744,1.6775,1.662,1.6775,5016
2014-01-10,1.6434,1.6434,1.6094,1.6217,18605
2014-01-13,1.6125,1.6404,1.6094,1.6404,1946
2014-01-14,1.6404,1.6961,1.6404,1.6961,19833
2014-01-15,1.693,1.693,1.693,1.693,66
2014-01-16,1.6899,1.6899,1.6713,1.6713,3660
2014-01-17,1.6775,1.7022,1.6279,1.631,591993
2014-01-20,1.6559,1.6867,1.631,1.6559,251561
2014-01-21,1.6805,1.6837,1.6713,1.6713,11165
2014-01-22,1.6683,1.6683,1.6279,1.6466,32421
2014-01-23,1.6497,1.6744,1.631,1.6744,18565
2014-01-24,1.6713,1.6713,1.631,1.6713,28568
2014-01-27,1.6713,1.6713,1.6032,1.6466,20711
2014-01-28,1.6342,1.6434,1.6062,1.6434,446346
2014-01-29,1.6404,1.6404,1.6094,1.6404,842
2014-01-30,1.6372,1.6372,1.6372,1.6372,32
2014-01-31,1.6404,1.7022,1.6187,1.7022,72569
2014-02-03,1.662,1.662,1.6404,1.662,33314
2014-02-04,1.6713,1.6713,1.6249,1.6279,7417
2014-02-05,1.631,1.631,1.6094,1.6217,43729
2014-02-06,1.6155,1.6528,1.6094,1.6217,17409
2014-02-07,1.6217,1.6497,1.6094,1.6466,15571
2014-02-10,1.6434,1.6434,1.6094,1.6404,33954
2014-02-11,1.6155,1.6372,1.6125,1.631,44058
2014-02-12,1.6217,1.6559,1.5816,1.6434,30242
2014-02-13,1.6404,1.8385,1.6404,1.826,549742
2014-02-14,1.8602,1.9561,1.8602,1.9561,830935
2014-02-17,1.987,2.1664,1.9251,2.1509,330255
2014-02-18,2.1943,2.1974,2.0799,2.1076,98207
2014-02-19,2.1076,2.1076,1.9345,2.1046,129196
2014-02-20,2.0613,2.1015,1.9808,2.1015,54284
2014-02-21,2.1015,2.1356,2.0395,2.1356,152211
2014-02-24,2.1356,2.1479,2.0737,2.117,136084
2014-02-25,2.1138,2.1138,2.0117,2.0737,114175
2014-02-26,2.0149,2.055,2.0117,2.052,127065
2014-02-27,2.0179,2.052,1.9839,2.052,55554
2014-02-28,2.0426,2.0737,2.0117,2.0737,224172
2014-03-03,2.0395,2.0395,1.8569,1.9499,232219
2014-03-04,1.9808,2.0271,1.9529,1.9746,147842
2014-03-05,1.9715,1.9962,1.9313,1.9777,101599
2014-03-06,1.9777,1.9777,1.9345,1.9499,12621
2014-03-07,1.9499,1.9808,1.8664,1.9808,50267
2014-03-10,1.9808,1.9808,1.9002,1.9499,69809
2014-03-11,1.9313,1.9436,1.9002,1.9436,101523
2014-03-12,1.9345,1.9436,1.9065,1.9406,202331
2014-03-13,1.9499,1.9962,1.922,1.922,219383
2014-03-14,1.922,1.9777,1.7425,1.9777,91367
2014-03-17,1.9499,1.9962,1.919,1.9962,48828
2014-03-18,1.9962,2.0271,1.9653,2.0271,59078
