Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-12-31,2.1201,2.3182,1.9653,2.2594,664890
2015-01-31,2.2098,2.4142,2.1913,2.3305,411389
2015-02-28,2.3119,2.3337,2.1356,2.2749,336635
2015-03-31,2.2749,2.3955,2.2006,2.3522,780255
2015-04-30,2.3522,2.5967,2.3119,2.476,2027855
2015-05-31,2.4636,2.4667,2.2469,2.2594,789772
2015-06-30,2.2407,2.2872,2.0644,2.2284,373365
2015-07-31,2.2284,2.2407,2.0271,2.0983,309303
2015-08-31,2.0983,2.383,2.0737,2.1603,2769893
2015-09-30,2.1107,2.2191,2.0737,2.1356,422420
2015-10-31,2.1201,2.1882,1.9529,2.0983,267532
2015-11-30,2.0179,2.0737,1.7177,1.826,693083
2015-12-31,1.891,2.0149,1.5908,2.0117,406910
2016-01-31,1.9808,1.9808,1.6125,1.7765,566091
2016-02-29,1.761,1.9127,1.7331,1.8694,1335744
2016-03-31,1.7518,2.1819,1.7518,2.1819,1151200
2016-04-30,2.185,2.2037,2.0303,2.1634,375969
2016-05-31,2.1603,2.1634,1.9622,2.1046,81315
2016-06-30,1.9962,2.1572,1.9901,2.0426,712894
2016-07-31,2.0426,2.2399,1.8879,2.2147,237064
2016-08-31,2.2179,2.5073,1.9536,2.328,1232976
2016-09-30,2.3594,3.2591,2.328,3.2403,3944938
2016-10-31,3.2403,3.6147,3.0861,3.4605,1853545
2016-11-30,3.4698,3.5833,3.2118,3.3347,673736
2016-12-31,3.451,3.5863,3.2718,3.4761,1477530
2017-01-31,3.4761,3.8378,3.4164,3.7563,1001836
2017-02-28,3.5705,4.2375,3.5705,4.077,1630532
2017-03-31,4.0898,4.3286,3.6899,4.0583,1090063
2017-04-30,4.0898,4.3098,3.8412,4.1841,1604453
2017-05-31,4.2155,4.2627,3.731,4.1493,571595
2017-06-30,4.1493,4.53,3.9954,4.3664,676267
2017-07-31,4.3978,4.3978,4.0312,4.0312,466614
2017-08-31,4.0312,4.2286,3.8137,4.1216,287784
2017-09-30,4.1449,4.4393,3.8839,4.2186,625383
2017-10-31,4.3223,4.61,4.0345,4.5163,1265568
2017-11-30,4.6267,5.2188,4.5497,5.1619,775755
2017-12-31,5.1518,6.5644,5.0583,5.2667,1008272
2018-01-31,5.2667,5.4118,4.3966,5.2972,756012
2018-02-28,5.3125,5.4881,4.9614,5.0988,96297
2018-03-31,5.0072,5.0606,4.3508,4.3813,78857
2018-04-30,4.3813,4.4959,3.9386,4.4959,165253
2018-05-31,4.4882,4.4882,3.9691,4.3355,147686
2018-06-30,4.2744,4.3126,3.2517,3.6485,73974
2018-07-31,3.4501,3.6409,3.183,3.2974,85179
2018-08-31,3.3051,3.5112,2.8089,3.0303,95375
2018-09-30,2.9769,2.9769,2.3433,2.5799,300598
2018-10-31,2.8242,2.9616,2.4731,2.7326,194008
2018-11-30,2.7249,2.9005,2.5647,2.7402,313638
2018-12-31,2.7478,2.7478,2.3968,2.4807,662364
2019-01-31,2.4807,2.9005,2.3281,2.8165,1580825
2019-02-28,2.8547,3.5646,2.786,3.3127,1889952
2019-03-31,3.3432,3.3586,2.9082,3.0265,839100
2019-04-30,3.0761,3.5265,2.9616,3.2669,658661
2019-05-31,3.3127,3.3127,2.5266,2.7478,528797
2019-06-30,2.7478,2.931,2.7097,2.9082,348826
2019-07-31,2.9158,2.931,2.5723,2.6867,692140
2019-08-31,2.6715,2.8623,2.6104,2.7097,169813
2019-09-30,2.7326,2.9463,2.557,2.786,774776
2019-10-31,2.7708,2.7936,2.618,2.786,262005
2019-11-30,2.7478,3.2745,2.6562,3.0074,868480
2019-12-31,3.015,3.244,2.9539,3.1982,648241
2020-01-31,3.1753,4.1524,3.1677,3.9386,1706886
2020-02-29,3.9538,4.4882,3.2058,3.5417,1336695
2020-03-31,3.5417,3.8317,2.3968,2.7784,1556193
2020-04-30,2.786,2.9463,2.4426,2.8165,1064223
2020-05-31,2.7784,3.3127,2.7326,3.0456,428046
2020-06-30,3.1295,3.6409,2.9997,3.0837,885309
2020-07-31,3.0837,3.3051,3.015,3.1906,1043871
2020-08-31,3.2058,3.8088,3.1753,3.7401,996070
2020-09-30,3.7783,4.4699,3.7401,4.0293,803764
2020-10-31,4.0922,4.2811,3.5571,3.6515,677639
2020-11-30,3.6672,4.4857,3.6672,4.0922,722552
2020-12-31,4.0922,4.2024,3.8876,4.1551,452837
2021-01-31,4.2496,5.7606,4.2496,5.493,1663433
2021-02-28,5.5245,6.1383,5.2254,5.8078,438934
2021-03-31,5.792,6.6734,5.6976,6.3586,475564
2021-04-30,6.3271,7.2401,6.2957,7.004,294190
2021-05-31,7.0669,9.4043,6.8151,8.9319,1539134
2021-06-30,8.8922,9.05,7.8785,8.4992,1969534
2021-07-31,8.4992,8.5337,7.3786,7.4303,587334
2021-08-31,7.4476,8.8785,7.4476,8.5337,809544
2021-09-30,8.4819,8.6026,7.7923,8.4302,413000
2021-10-31,8.2061,8.413,7.7923,7.8441,235919
2021-11-30,7.8441,7.9647,6.5166,7.12,636117
2021-12-31,7.1717,7.3786,6.6545,6.8097,303758
2022-01-31,6.9821,7.2407,6.3787,6.9304,196535
2022-02-28,7.0166,7.0166,5.7063,6.3097,248709
2022-03-31,6.4649,7.0855,5.6374,6.9821,1253071
2022-04-30,7.0338,7.482,5.54,5.8,1488465
2022-05-31,5.8,6.5,5.58,6.36,312029
2022-06-30,6.48,6.48,5.44,5.8,194969
2022-07-31,5.76,5.88,5.26,5.82,209824
2022-08-31,5.8,6.16,5.58,5.7,136371
2022-09-30,5.7,5.76,5,5.08,265638
2022-10-31,5.02,5.28,4.94,5.22,225339
2022-11-30,5.04,5.56,5.04,5.5,324024
2022-12-31,5.34,6.06,5.34,5.78,320202
2023-01-31,5.76,6.32,5.64,6.16,294529
2023-02-28,6.18,6.56,6.1,6.2,215259
2023-03-31,6.24,7.02,5.54,5.82,830603
2023-04-30,5.82,6.18,5.3,6.06,336418
2023-05-31,6.06,7.14,6.04,6.28,553497
2023-06-30,6.3,6.64,6.26,6.4,150032
2023-07-31,6.5,8.76,6.5,8.18,614570
2023-08-31,8.2,8.24,7.52,8.04,108688
2023-09-30,8.12,8.36,6.96,7.06,587040
2023-10-31,7,7.92,6.8,7.72,463154
2023-11-30,7.84,7.84,6.92,7,336346
2023-12-31,7,7.2,7,7.18,12909
