date;avg_rate;sum_value
2014-12;0,0473;3191000000
2015-01;0,0476;2700000000
2015-02;0,0467;2702000000
2015-03;0,0443;3594000000
2015-04;0,0431;3552000000
2015-05;0,0434;3469000000
2015-06;0,044;3619000000
2015-07;0,0444;3826000000
2015-08;0,0448;3095000000
2015-09;0,0447;3420000000
2015-10;0,0449;3820000000
2015-11;0,0445;3560000000
2015-12;0,0447;3857000000
2016-01;0,0452;2900000000
2016-02;0,0448;3182000000
2016-03;0,0446;3660000000
2016-04;0,0459;4362000000
2016-05;0,0453;3528000000
2016-06;0,0454;3771000000
2016-07;0,0454;3075000000
2016-08;0,0453;3189000000
2016-09;0,0446;3368000000
2016-10;0,0451;3322000000
2016-11;0,0445;3216000000
2016-12;0,0447;3395000000
2017-01;0,045;3049000000
2017-02;0,0453;3576000000
2017-03;0,0444;4320000000
2017-04;0,0443;3749000000
2017-05;0,0446;4104000000
2017-06;0,0438;4286000000
2017-07;0,044;4353000000
2017-08;0,0439;3802000000
2017-09;0,0445;3639000000
2017-10;0,0442;3932000000
2017-11;0,044;3556000000
2017-12;0,044;3164000000
2018-01;0,044;3316000000
2018-02;0,0443;4079000000
2018-03;0,0439;4519000000
2018-04;0,0435;4252000000
2018-05;0,0434;4072000000
2018-06;0,0433;4483000000
2018-07;0,0433;4345000000
2018-08;0,0433;4241000000
2018-09;0,0438;4438000000
2018-10;0,0439;4748000000
2018-11;0,044;4029000000
2018-12;0,0437;3807000000
2019-01;0,0436;3735000000
2019-02;0,0436;3700000000
2019-03;0,043;4430000000
2019-04;0,043;4954000000
2019-05;0,0428;4990000000
2019-06;0,0428;4709000000
2019-07;0,0431;5314000000
2019-08;0,0432;4681000000
2019-09;0,0439;4559000000
2019-10;0,044;4825000000
2019-11;0,0438;3863000000
2019-12;0,0439;4082000000
2020-01;0,044;4501000000
2020-02;0,0439;4925000000
2020-03;0,0432;5445000000
2020-04;0,0397;4809000000
2020-05;0,0369;4277000000
2020-06;0,033;3923000000
2020-07;0,0331;4666000000
2020-08;0,0309;4120000000
2020-09;0,0306;5073000000
2020-10;0,0297;5723000000
2020-11;0,0295;4833000000
2020-12;0,0288;5629000000
2021-01;0,0287;4931000000
2021-02;0,0286;5488000000
2021-03;0,0286;6973000000
2021-04;0,0289;7187000000
2021-05;0,029;7472000000
2021-06;0,0293;7585000000
2021-07;0,029;7868000000
2021-08;0,0292;7667000000
2021-09;0,0295;8072000000
2021-10;0,0312;8175000000
2021-11;0,0368;7317000000
2021-12;0,0467;7582000000
2022-01;0,0523;6004000000
2022-02;0,0572;5331000000
2022-03;0,0644;6256000000
2022-04;0,0703;5554000000
2022-05;0,0749;5194000000
2022-06;0,0822;4853000000
2022-07;0,0884;3991000000
2022-08;0,0925;2800000000
2022-09;0,0907;2405000000
2022-10;0,0911;2147000000
2022-11;0,0942;2064000000
2022-12;0,0935;2110000000
2023-01;0,0896;2011000000
2023-02;0,0876;2132000000
2023-03;0,0873;3122000000
2023-04;0,0872;3088000000
2023-05;0,0865;3887000000
2023-06;0,0861;4079000000
2023-07;0,0847;4058000000
2023-08;0,0817;4798000000
2023-09;0,0796;6360000000
2023-10;0,0778;7946000000
