date;urbanone
2013-01;96.91
2013-02;96.76
2013-03;96.85
2013-04;97.09
2013-05;96.95
2013-06;96.88
2013-07;96.84
2013-08;96.82
2013-09;96.62
2013-10;96.76
2013-11;96.80
2013-12;96.88
2014-01;96.22
2014-02;95.98
2014-03;96.18
2014-04;96.36
2014-05;96.03
2014-06;96.56
2014-07;96.40
2014-08;96.36
2014-09;96.19
2014-10;96.22
2014-11;96.27
2014-12;96.48
2015-01;95.67
2015-02;95.70
2015-03;95.85
2015-04;95.98
2015-05;95.82
2015-06;96.07
2015-07;95.91
2015-08;95.89
2015-09;95.80
2015-10;95.84
2015-11;95.87
2015-12;95.94
2016-01;95.69
2016-02;95.78
2016-03;95.83
2016-04;95.79
2016-05;95.81
2016-06;95.50
2016-07;95.46
2016-08;95.66
2016-09;95.64
2016-10;95.61
2016-11;95.82
2016-12;95.75
2017-01;95.60
2017-02;95.69
2017-03;95.84
2017-04;95.99
2017-05;96.15
2017-06;96.36
2017-07;96.56
2017-08;96.60
2017-09;96.62
2017-10;96.72
2017-11;96.82
2017-12;97.16
2018-01;96.89
2018-02;97.03
2018-03;97.18
2018-04;97.26
2018-05;97.38
2018-06;97.45
2018-07;97.63
2018-08;97.79
2018-09;98.77
2018-10;100.05
2018-11;100.10
2018-12;101.43
2019-01;101.08
2019-02;101.77
2019-03;102.00
2019-04;102.02
2019-05;102.22
2019-06;102.67
2019-07;102.75
2019-08;102.91
2019-09;103.09
2019-10;103.26
2019-11;103.45
2019-12;103.64
2020-01;103.73
2020-02;104.24
2020-03;104.33
2020-04;102.34
2020-05;103.45
2020-06;103.87
2020-07;103.97
2020-08;104.13
2020-09;104.33
2020-10;104.41
2020-11;104.16
2020-12;104.17
2021-01;104.57
2021-02;103.63
2021-03;103.76
2021-04;105.31
2021-05;105.36
2021-06;105.88
2021-07;107.75
2021-08;109.47
2021-09;109.77
2021-10;109.73
2021-11;109.36
2021-12;109.34
2022-01;110.16
2022-02;110.56
2022-03;110.54
2022-04;110.59
2022-05;111.80
2022-06;111.14
2022-07;111.21
2022-08;111.56
2022-09;111.22
2022-10;110.69
2022-11;110.34
2022-12;110.04
2023-01;109.10
2023-02;109.56
2023-03;107.97
2023-04;107.59
2023-05;107.66
2023-06;107.97
2023-07;108.04
2023-08;108.54
2023-09;108.90
